date,index_return_sh,index_return_sz,index_return_cyb,index_return_bse,limit_up_1st,limit_up_2nd,limit_up_3rd,limit_up_4th,limit_up_5th,limit_up_6th,limit_down,limit_up_20cm_1st,limit_up_20cm,limit_up_30cm_1st,limit_up_30cm
2025-09-11,1.6549,3.3622,5.1469,1.5909,63,6,4,0,0,0,3,12,0,0,0
2025-09-12,-0.1216,-0.4296,-1.0913,-2.1126,41,11,4,3,0,0,2,2,0,1,0
2025-09-15,-0.2608,0.6317,1.5149,0.3801,49,8,1,0,0,0,3,8,0,0,0
2025-09-16,0.0353,0.4475,0.6803,0.6331,46,6,6,1,0,0,1,6,1,0,0
2025-09-17,0.3748,1.1596,1.9535,-0.5994,46,7,2,4,0,0,0,6,0,2,0
2025-09-18,-1.1528,-1.0578,-1.6361,-1.0124,28,7,4,2,4,1,0,4,1,0,1
2025-09-19,-0.3019,-0.0367,-0.1566,-0.8274,34,6,2,1,1,1,20,3,0,0,0
2025-09-22,0.2222,0.6665,0.5462,0.7091,42,5,2,1,1,1,8,8,0,0,0
2025-09-23,-0.1761,-0.29,0.2145,-2.6266,26,9,3,1,0,2,8,4,2,0,0
2025-09-24,0.8323,1.8013,2.2802,2.0339,54,6,2,1,0,0,7,8,2,0,0
2025-09-25,-0.0088,0.672,1.5757,-1.3746,27,5,1,2,1,0,6,3,1,0,0
2025-09-26,-0.6539,-1.7619,-2.6032,-1.8136,33,4,2,0,1,0,21,3,1,0,0
2025-09-29,0.8993,2.0473,2.7441,0.6866,39,3,2,0,0,1,2,5,2,0,0
2025-09-30,0.5242,0.3493,0.0046,-0.7046,32,6,1,1,0,1,2,6,1,0,0
2025-10-09,1.3185,1.4715,0.7307,-0.1843,65,6,1,1,0,0,16,8,1,2,0
2025-10-10,-0.9391,-2.6967,-4.5545,-1.239,39,10,1,0,0,0,6,4,0,0,0
2025-10-13,-0.1931,-0.9281,-1.1082,-1.2937,36,6,3,1,0,0,2,8,1,1,0
2025-10-14,-0.6241,-2.5421,-3.9879,-0.2164,23,5,1,2,0,0,2,1,1,0,0
2025-10-15,1.2155,1.7344,2.3642,1.6247,51,5,1,0,0,0,4,4,0,0,0
2025-10-16,0.1027,-0.2466,0.3825,-1.2991,25,7,4,0,0,0,7,2,0,0,0
2025-10-17,-1.9527,-3.0373,-3.3605,-3.7512,25,7,1,2,0,0,23,1,0,0,0
2025-10-20,0.6286,0.9794,1.9788,-0.2506,53,5,2,1,2,0,2,8,0,1,0
2025-10-21,1.3572,2.0612,3.0153,2.0393,50,9,1,0,0,1,2,7,1,1,0
2025-10-22,-0.0657,-0.6172,-0.7911,0.8672,34,12,6,0,0,1,5,1,0,0,0
2025-10-23,0.2211,0.2219,0.0929,-1.0672,37,4,2,3,0,1,7,6,0,0,0
2025-10-24,0.7113,2.0248,3.5728,1.1478,40,6,2,1,1,0,7,3,0,0,0
2025-10-27,1.1805,1.5066,1.9828,-0.1987,35,6,3,1,1,1,8,3,0,0,0
